slug,year,count,ratio
cities,2008,7,0.0017
artistsship,2008,1,0.0006
ecw,2014,1,0.0006
re,2016,3,0.0004
ambitious,2012,4,0.001
spam,2002,7,0.0011
hiring,2005,14,0.0026
fundraising,2008,7,0.0013
nerds,2003,4,0.0006
america,2006,7,0.0013
progbot,1993,0,0.0
webstartups,2007,2,0.0005
badeconomy,2008,0,0.0
property,2012,1,0.0007
rootsoflisp,2001,0,0.0
sfp,2005,3,0.001
aord,2015,3,0.0015
bias,2015,0,0.0
softwarepatents,2006,7,0.0014
ronco,2015,1,0.0009
vb,2016,3,0.0014
speak,2012,2,0.0012
mit,2006,19,0.0027
hp,2003,6,0.001
mac,2005,0,0.0
patentpledge,2011,1,0.0009
road,2001,14,0.0011
unions,2007,0,0.0
kate,2009,1,0.0008
island,2006,1,0.0008
6631327,2006,0,0.0
organic,2010,1,0.0007
word,2012,1,0.0008
top,2010,1,0.0006
fr,2013,14,0.0013
pow,2017,1,0.0018
corpdev,2015,0,0.0
start,2005,17,0.0016
pypar,2004,0,0.0
startuphubs,2007,2,0.001
sun,2017,0,0.0
work,2015,1,0.0011
randomness,2006,1,0.001
talk,2015,0,0.0
lies,2008,15,0.0026
gba,2004,3,0.0012
know,2014,0,0.0
siliconvalley,2006,6,0.0014
web20,2005,3,0.0007
guidetoinvestors,2007,6,0.0009
revolution,2009,2,0.0011
disc,2017,1,0.0015
13sentences,2009,1,0.0005
hackernews,2009,11,0.0033
discover,2009,2,0.0011
judgement,2007,2,0.0016
prcmc,2008,2,0.0012
name,2015,1,0.0008
good,2008,4,0.0012
power,2002,6,0.0016
distraction,2008,1,0.0006
lwba,2001,0,0.0
procrastination,2005,3,0.0012
copy,2006,0,0.0
convergence,2009,3,0.0015
prop62,2016,0,0.0
essay,2004,1,0.0002
ycombinator,2008,3,0.0012
hundred,2003,3,0.0006
gh,2004,12,0.002
inequality,2005,1,0.0003
highres,2008,1,0.0005
pgh,2016,1,0.0003
diff,2001,1,0.0008
investors,2006,7,0.0021
boss,2008,2,0.0007
startuplessons,2006,6,0.0011
popular,2001,10,0.0012
marginal,2006,5,0.0008
better,2003,9,0.0018
